Celebrity,Spouse,Start_Date,End_Date,End_Cause,Country,Occupation
Tina Turner,Ike Turner,1962-01-01,1978-03-29,divorce,United States,musician
Michael C. Hall,Jennifer Carpenter,2008-01-01,2011-01-01,,United States,actor
Miles Davis,Cicely Tyson,1981-11-26,1988-01-01,,United States,actor
Miles Davis,Cicely Tyson,1981-11-26,1988-01-01,,United States,musician
Q153694,Lusiana Lopilato,2011-01-01,,,Italy,actor
Vladimir Vysotsky,Marina Vlady,1970-12-01,1980-07-25,death of subject's spouse,Soviet Union,actor
Tina Turner,Ike Turner,1962-01-01,1978-03-29,divorce,Switzerland,actor
Tina Turner,Ike Turner,1962-01-01,1978-03-29,divorce,Switzerland,musician
David Duchovny,Téa Leoni,1997-01-01,2014-01-01,,United States,actor
Richard Gere,Carey Lowell,2002-01-01,2013-01-01,,United States,actor
Kevin Bacon,Kyra Sedgwick,1988-01-01,,,United States,actor
Kevin Bacon,Kyra Sedgwick,1988-01-01,,,United States,musician
Q153694,Lusiana Lopilato,2011-01-01,,,Canada,actor
James Cameron,Linda Hamilton,1997-07-26,1999-12-16,,New Zealand,actor
Johnny Cash,June Carter Cash,1968-03-01,2003-01-01,,United States,actor
Ian Somerhalder,Q234847,2015-04-26,,,United States,actor
Neil Young,Daryl Hannah,2018-01-01,,,Canada,actor
Ellen DeGeneres,Portia de Rossi,2008-08-16,,,United States,actor
Arnold Schwarzenegger,Maria Shriver,1986-04-26,2021-01-01,divorce,Austria,actor
Ewan McGregor,Mary Elizabeth Winstead,2022-01-01,,,United States,actor
Tony Curtis,Janet Leigh,1951-01-01,1962-01-01,,United States,actor
Ewan McGregor,Mary Elizabeth Winstead,2022-01-01,,,United Kingdom,actor
Alicia Keys,Swizz Beatz,2010-07-31,,,United States,actor
Louis XIV of France,"Françoise d'Aubigné, Marquise de Maintenon",1684-06-12,1715-09-01,,Kingdom of France,actor
Gérard Depardieu,Élisabeth Depardieu,1971-02-19,1996-11-02,,United Arab Emirates,actor
Avril Lavigne,Deryck Whibley,2006-01-01,2010-01-01,divorce,France,actor
Elizabeth Taylor,Mike Todd,1957-02-02,1958-03-22,death of subject's spouse,United States,actor
Elizabeth Taylor,Mike Todd,1957-02-02,1958-03-22,death of subject's spouse,United Kingdom,actor
Angelina Jolie,Billy Bob Thornton,2000-05-05,2003-05-27,divorce,United States,actor
Nicolas Cage,Patricia Arquette,1995-04-08,2001-05-18,divorce,United States,actor
Avril Lavigne,Deryck Whibley,2006-01-01,2010-01-01,divorce,Canada,actor
Ed Harris,Amy Madigan,1983-11-21,,,United States,actor
Henry Fonda,Margaret Sullavan,1931-12-25,1933-01-01,,United States,actor
William Wyler,Margaret Sullavan,1934-11-25,1936-03-13,,United States,actor
Tom Cruise,Mimi Rogers,1987-05-09,1990-02-04,,United States,actor
Helen Hunt,Hank Azaria,1999-07-17,2000-12-18,,United States,actor
James Cameron,Linda Hamilton,1997-07-26,1999-12-16,,Canada,actor
Alfred Hitchcock,Alma Reville,1926-12-02,1980-04-29,death of subject,United Kingdom of Great Britain and Ireland,actor
Anouk Aimée,Albert Finney,1970-01-01,1978-01-01,,France,actor
Gabriel Byrne,Ellen Barkin,1988-09-18,1999-05-26,,Ireland,actor
William Wyler,Margaret Sullavan,1934-11-25,1936-03-13,,Switzerland,actor
Britney Spears,Kevin Federline,2004-10-06,2007-07-30,divorce,United States,actor
Hal Holbrook,Dixie Carter,1984-05-27,2010-04-10,,United States,actor
Steve McQueen,Neile Adams,1956-01-01,1972-01-01,divorce,United States,actor
Daniel Barenboim,Jacqueline du Pré,1967-01-01,1987-01-01,,Spain,musician
Lou Reed,Laurie Anderson,2008-04-12,2013-10-27,,United States,actor
Lou Reed,Laurie Anderson,2008-04-12,2013-10-27,,United States,musician
Charles Laughton,Elsa Lanchester,1929-01-01,1962-01-01,,United States,actor
Kourtney Kardashian,Travis Barker,2022-05-15,,,United States,actor
Charles Laughton,Elsa Lanchester,1929-01-01,1962-01-01,,United Kingdom,actor
Mike Nichols,Diane Sawyer,1988-04-01,2014-11-19,death of subject,United States,actor
Tom Hanks,Rita Wilson,1988-04-30,,,Greece,actor
Clark Gable,Carole Lombard,1939-03-29,1942-01-16,death of subject's spouse,United States,actor
Ralph Fiennes,Alex Kingston,1993-09-01,1997-01-01,divorce,Serbia,actor
Gloria Grahame,Q240677,1948-01-01,1952-01-01,,United States,actor
Ralph Fiennes,Alex Kingston,1993-09-01,1997-01-01,divorce,United Kingdom,actor
Edward James Olmos,Lorraine Bracco,1994-01-01,2002-01-01,,United States,actor
Daniel Barenboim,Jacqueline du Pré,1967-01-01,1987-01-01,,Israel,musician
Will Smith,Jada Pinkett Smith,1997-01-01,,,United States,actor
George Harrison,Pattie Boyd,1966-01-21,1977-01-01,divorce,United Kingdom,actor
George Harrison,Pattie Boyd,1966-01-21,1977-01-01,divorce,United Kingdom,musician
Eva Longoria,Tony Parker,2007-01-01,2011-01-01,,United States,actor
Elvis Presley,Priscilla Presley,1967-05-01,1973-10-09,divorce,United States,actor
Carmen Electra,Dennis Rodman,1998-01-01,1999-01-01,,United States,actor
João Gilberto,Astrud Gilberto,1960-01-01,1964-01-01,,Brazil,musician
Chad Michael Murray,Sophia Bush,2005-04-16,2006-12-01,divorce,United States,actor
John Barry,Jane Birkin,1965-10-16,1968-01-01,,United States,musician
Nero,Claudia Octavia,0053-01-01,0062-01-01,divorce,Ancient Rome,musician
John Barry,Jane Birkin,1965-10-16,1968-01-01,,United Kingdom,musician
Peter Sellers,Britt Ekland,1964-02-19,1968-12-18,divorce,United Kingdom,actor
Paula Abdul,Emilio Estevez,1992-01-01,1994-01-01,,United States,actor
Steve McQueen,Ali MacGraw,1973-01-01,1978-01-01,divorce,United States,actor
Channing Tatum,Jenna Dewan,2009-07-11,2019-11-01,divorce,United States,actor
Daniel Barenboim,Jacqueline du Pré,1967-01-01,1987-01-01,,Argentina,musician
Monica Bellucci,Vincent Cassel,1999-08-03,2013-08-26,divorce,Italy,actor
Jason Momoa,Lisa Bonet,2017-01-01,2022-01-01,divorce,United States,actor
Jensen Ackles,Danneel Ackles,2010-05-15,,,United States,actor
Edward James Olmos,Lorraine Bracco,1994-01-01,2002-01-01,,Mexico,actor
Chris Hemsworth,Elsa Pataky,2010-12-26,,,Australia,actor
The Notorious B.I.G.,Faith Evans,1994-08-04,1997-03-09,,United States,actor
Jon Voight,Marcheline Bertrand,1971-12-12,1980-04-14,,United States,actor
Neil Gaiman,Amanda Palmer,2011-01-01,,,United Kingdom,actor
Louis XIV of France,"Françoise d'Aubigné, Marquise de Maintenon",1683-10-10,1715-09-01,,Kingdom of France,actor
Frank Sinatra,Mia Farrow,1966-07-19,1968-08-16,divorce,United States,actor
Joe Jonas,Sophie Turner,2019-05-01,2023-09-01,divorce,United States,actor
Timothy Hutton,Debra Winger,1986-03-16,1990-03-01,,United States,actor
Angelina Jolie,Billy Bob Thornton,2000-05-05,2003-05-27,divorce,Cambodia,actor
Cary Grant,Dyan Cannon,1965-07-22,1968-01-01,,United States,actor
Bradley Cooper,Jennifer Esposito,2006-01-01,2007-01-01,divorce,United States,actor
Cary Grant,Dyan Cannon,1965-07-22,1968-01-01,,United Kingdom,actor
Sean Connery,Diane Cilento,1962-01-01,1973-01-01,divorce,United Kingdom,actor
Madonna,Guy Ritchie,2000-12-22,2008-11-21,,United States,actor
Martin Scorsese,Isabella Rossellini,1979-01-01,1982-01-01,,United States,actor
Rita Hayworth,James Hill,1958-01-01,1961-01-01,,United States,actor
Rudolph Valentino,Jean Acker,1919-01-01,1923-01-01,,Kingdom of Italy,actor
George Clooney,Talia Balsam,1989-12-15,1993-09-17,,France,actor
John Carpenter,Adrienne Barbeau,1979-01-01,1984-01-01,,United States,actor
Jet Li,Nina Li,1999-01-01,,,Singapore,actor
Jet Li,Nina Li,1999-01-01,,,Singapore,athlete
Cary Grant,Barbara Hutton,1942-01-01,1945-01-01,,United States,actor
Burt Bacharach,Carole Bayer Sager,1982-01-01,1991-01-01,,United States,musician
James Cameron,Gale Anne Hurd,1985-01-01,1989-01-01,,New Zealand,actor
Cary Grant,Barbara Hutton,1942-01-01,1945-01-01,,United Kingdom,actor
Steven Seagal,Kelly Le Brock,1987-09-05,1996-01-01,,Russia,actor
Steven Seagal,Kelly Le Brock,1987-09-05,1996-01-01,,Russia,musician
Marilyn Manson,Dita Von Teese,2005-01-01,2007-01-01,,United States,actor
Nas,Kelis,2005-01-08,2010-05-21,,United States,actor
Patton Oswalt,Meredith Salenger,2017-11-04,,,United States,actor
Bill Paxton,Kelly Rowan,,,,United States,actor
James McAvoy,Anne-Marie Duff,2006-10-18,2016-05-13,divorce,United Kingdom,actor
Johnny Weissmuller,Lupe Vélez,1933-01-01,1939-01-01,divorce,Austria–Hungary,actor
Peter O'Toole,Siân Phillips,1959-12-01,1979-08-14,,Ireland,actor
Paul McCartney,Heather Mills,2002-06-11,2008-05-19,divorce,United Kingdom,actor
Paul McCartney,Heather Mills,2002-06-11,2008-05-19,divorce,United Kingdom,musician
Bella Akhmadulina,Yevgeny Yevtushenko,1954-01-01,,,Soviet Union,actor
Michel Legrand,Macha Méril,2014-09-18,2019-01-26,,United States,actor
Michel Legrand,Macha Méril,2014-09-18,2019-01-26,,United States,musician
Josh Brolin,Diane Lane,2004-08-15,2013-11-27,,United States,actor
Mike Tyson,Robin Givens,1988-01-01,1989-02-14,,United States,actor
Johnny Weissmuller,Lupe Vélez,1933-01-01,1939-01-01,divorce,United States,actor
O. J. Simpson,Nicole Brown Simpson,1985-02-02,1992-01-01,death of subject's spouse,United States,actor
Michael J. Fox,Tracy Pollan,1988-01-01,,,United States,actor
George C. Scott,Colleen Dewhurst,1967-07-04,1972-02-02,divorce,United States,actor
Paris Hilton,Edward Furlong,,,,United States,actor
Jean Dujardin,Nathalie Péchalat,2018-05-19,2024-01-01,,France,actor
Miles Davis,Betty Davis,1968-09-30,1969-01-01,,United States,actor
Miles Davis,Betty Davis,1968-09-30,1969-01-01,,United States,musician
Julianne Moore,Bart Freundlich,2003-08-23,,,United States,actor
James Cameron,Gale Anne Hurd,1985-01-01,1989-01-01,,Canada,actor
Leighton Meester,Adam Brody,2014-01-01,,,United States,actor
Julianne Moore,Bart Freundlich,2003-08-23,,,United Kingdom,actor
Steve Martin,Victoria Tennant,1986-11-20,1994-01-01,divorce,United States,actor
Steve Martin,Victoria Tennant,1986-11-20,1994-01-01,divorce,United States,musician
Michel Legrand,Macha Méril,2014-09-18,2019-01-26,,France,actor
Michel Legrand,Macha Méril,2014-09-18,2019-01-26,,France,musician
Miriam Makeba,Hugh Masekela,1964-01-01,1966-01-01,,Algeria,actor
Jean-Louis Trintignant,Nadine Trintignant,1960-01-01,1976-01-01,divorce,France,actor
Melanie Griffith,Don Johnson,1976-01-01,1976-01-01,,United States,actor
Rex Harrison,Kay Kendall,1957-06-01,1959-09-06,death of subject's spouse,United Kingdom of Great Britain and Ireland,actor
William Shakespeare,Anne Hathaway,1582-12-17,1616-05-03,,Kingdom of England,actor
Nero,Statilia Messalina,0066-01-01,0068-06-07,death,Ancient Rome,musician
George C. Scott,Colleen Dewhurst,1960-01-01,1965-01-01,divorce,United States,actor
Jennifer Connelly,Paul Bettany,2003-01-01,,,United States,actor
Michael J. Fox,Tracy Pollan,1988-01-01,,,Canada,actor
Melina Mercouri,Jules Dassin,1966-05-18,1994-03-06,death of subject,Greece,actor
Harold Pinter,Antonia Fraser,1980-11-27,2008-12-24,,United Kingdom,actor
Jared Padalecki,Genevieve Padalecki,2010-02-27,,,United States,actor
Roger Vadim,Marie-Christine Barrault,1990-12-21,2000-02-11,,France,actor
Paul Simon,Edie Brickell,1992-05-30,,,United States,actor
Macaulay Culkin,Rachel Miner,1998-06-21,2002-01-01,divorce,United States,actor
Macaulay Culkin,Rachel Miner,1998-06-21,2002-01-01,divorce,United States,musician
Harold Pinter,Vivien Merchant,1956-01-01,1980-01-01,,United Kingdom,actor
James Cameron,Suzy Amis Cameron,2000-06-04,,,New Zealand,actor
Kris Kristofferson,Rita Coolidge,1973-01-01,1980-01-01,,United States,actor
Q55245,Jill Esmond,1930-01-01,1940-01-01,,United Kingdom,actor
Paul Wesley,Torrey DeVitto,2011-01-01,2013-01-01,,Poland,actor
Charlie Chaplin,Mildred Harris,1918-09-01,1920-04-01,divorce,United Kingdom,actor
Rex Harrison,Rachel Roberts,1962-03-22,1971-01-01,divorce,United Kingdom of Great Britain and Ireland,actor
Alain Robbe-Grillet,Catherine Robbe-Grillet,1957-10-23,2008-02-18,death of subject's spouse,France,actor
Heather Locklear,Richie Sambora,1994-12-17,2007-04-11,divorce,United States,actor
Woody Allen,Louise Lasser,1966-01-01,1970-01-01,,United States,actor
Yevgeny Yevtushenko,Bella Akhmadulina,1955-01-01,1958-01-01,,Russia,actor
Sean Penn,Robin Wright,1996-04-27,2010-07-22,,United States,actor
David Bowie,Iman,1992-04-24,2016-01-10,,United Kingdom,actor
David Bowie,Iman,1992-04-24,2016-01-10,,United Kingdom,musician
Avril Lavigne,Chad Kroeger,2013-01-01,2015-01-01,divorce,France,actor
Sarah Michelle Gellar,Freddie Prinze Jr.,2002-01-01,,,United States,actor
Eric Cantona,Rachida Brakni,2007-01-01,,,France,actor
Casey Affleck,Summer Phoenix,2006-01-01,2017-01-01,divorce,United States,actor
Avril Lavigne,Chad Kroeger,2013-01-01,2015-01-01,divorce,Canada,actor
Humphrey Bogart,Mary Philips,1928-04-03,1938-01-01,divorce,United States,actor
Bing Crosby,Kathryn Crosby,1957-01-01,1977-01-01,,United States,actor
Adam Levine,Behati Prinsloo,2014-01-01,,,United States,actor
Adam Levine,Behati Prinsloo,2014-01-01,,,United States,musician
George Burns,Gracie Allen,1926-01-01,1964-01-01,,United States,actor
Melanie Griffith,Don Johnson,1989-01-01,1996-01-01,,United States,actor
Christopher Lambert,Diane Lane,1988-10-29,1994-03-01,,United States,actor
Laura Prepon,Ben Foster,2018-01-01,2024-01-01,divorce,United States,actor
James Cameron,Suzy Amis Cameron,2000-06-04,,,Canada,actor
Q102711,Michelle Phillips,1970-10-31,1970-11-08,,United States,actor
Sofia Coppola,Spike Jonze,1999-01-01,2003-01-01,,United States,actor
Mick Jagger,Bianca Jagger,1971-05-12,1978-05-01,divorce,United Kingdom,actor
Dave Franco,Alison Brie,,,,United States,actor
Christopher Nolan,Emma Thomas,1997-01-01,,,United States,actor
Christopher Nolan,Emma Thomas,1997-01-01,,,United Kingdom,actor
Christopher Reeve,Dana Reeve,1992-01-01,2006-01-01,,United States,actor
Richard Schiff,Sheila Kelley,1996-01-01,,,United States,actor
Christopher Lambert,Diane Lane,1988-10-29,1994-03-01,,France,actor
Paul Auster,Siri Hustvedt,1982-06-16,2024-04-30,death of subject,United States,musician
Stephen King,Tabitha King,1971-01-07,,,United States,actor
Vittorio De Sica,María Mercader,1959-01-01,1974-01-01,,France,actor
Vittorio De Sica,María Mercader,1959-01-01,1974-01-01,,Italy,actor
Mick Jagger,Jerry Hall,1990-11-21,1999-08-13,annulment,United Kingdom,actor
Brian Wilson,Marilyn Wilson,1964-12-07,1979-01-01,,United States,actor
Brian Wilson,Marilyn Wilson,1964-12-07,1979-01-01,,United States,musician
Meghan Trainor,Daryl Sabara,2018-12-22,,,United States,musician
Wim Wenders,Ronee Blakley,1979-01-01,1981-01-01,,Germany,actor
Reese Witherspoon,Ryan Phillippe,1999-01-01,2007-01-01,,United States,actor
Wiz Khalifa,Amber Rose,2013-07-08,2016-06-07,divorce,United States,actor
Q2831,Lisa Marie Presley,1994-05-26,1996-08-20,divorce,United States,actor
Q2831,Lisa Marie Presley,1994-05-26,1996-08-20,divorce,United States,musician
Jodie Foster,Alexandra Hedison,2014-04-01,,,United States,actor
William Hurt,Mary Beth Hurt,1971-12-02,1982-12-09,divorce,United States,actor
Vittorio De Sica,María Mercader,1959-01-01,1974-01-01,,Kingdom of Italy,actor
Eric Cantona,Rachida Brakni,,,,France,actor
Steven Seagal,Kelly Le Brock,1987-09-05,1996-01-01,,Serbia,actor
Steven Seagal,Kelly Le Brock,1987-09-05,1996-01-01,,Serbia,musician
Rex Harrison,Kay Kendall,1957-06-01,1959-09-06,death of subject's spouse,United Kingdom,actor
Steven Seagal,Kelly Le Brock,1987-09-05,1996-01-01,,United States,actor
Steven Seagal,Kelly Le Brock,1987-09-05,1996-01-01,,United States,musician
Penny Marshall,Rob Reiner,1971-01-01,1981-01-01,,United States,actor
Rod Steiger,Claire Bloom,1959-01-01,1969-01-01,divorce,United States,actor
John Huston,Evelyn Keyes,1946-07-23,1950-01-01,divorce,United States,actor
Marlon Brando,Movita Castaneda,1960-01-01,1968-01-01,,United States,actor
Brian De Palma,Nancy Allen,1979-01-01,1983-01-01,divorce,United States,actor
John Cleese,Connie Booth,1968-01-01,1978-01-01,divorce,United Kingdom,actor
Bernard-Henri Lévy,Arielle Dombasle,1993-06-19,,,France,actor
Brian De Palma,Gale Anne Hurd,1991-01-01,1993-01-01,,United States,actor
Miriam Makeba,Hugh Masekela,1964-01-01,1966-01-01,,South Africa,actor
Charlie Chaplin,Mildred Harris,1918-09-01,1920-04-01,divorce,United Kingdom of Great Britain and Ireland,actor
Donald Trump,Ivana Trump,1977-04-09,1990-12-11,divorce,United States,actor
George Clooney,Talia Balsam,1989-12-15,1993-09-17,,United States,actor
Burt Reynolds,Loni Anderson,1988-01-01,1994-01-01,divorce,United States,actor
Olivier Messiaen,Yvonne Loriod,1961-01-01,1992-01-01,,France,musician
Bella Akhmadulina,Yevgeny Yevtushenko,1954-01-01,,,Russia,actor
Laurence Fishburne,Gina Torres,2002-09-22,2018-01-01,,United States,actor
Rex Harrison,Rachel Roberts,1962-03-22,1971-01-01,divorce,United Kingdom,actor
Rob Reiner,Penny Marshall,1971-01-01,1981-01-01,divorce,United States,actor
Ernest Borgnine,Katy Jurado,1959-12-31,1963-06-03,,United States,actor
Patrick Swayze,Lisa Niemi,1975-06-12,2009-09-14,,United States,actor
Bob Hope,Dolores Hope,1934-02-19,2003-07-27,death of subject,United States,actor
Bob Hope,Dolores Hope,1934-02-19,2003-07-27,death of subject,United Kingdom,actor
Gene Wilder,Gilda Radner,1984-01-01,1989-01-01,,United States,actor
Dennis Quaid,P. J. Soles,1978-01-01,1983-01-01,divorce,United States,actor
Billy Connolly,Pamela Stephenson,1989-01-01,,,United Kingdom,actor
John Lennon,Cynthia Lennon,1962-08-23,1968-11-08,divorce,United Kingdom,actor
Gene Kelly,Betsy Blair,1941-01-01,1957-04-01,divorce,United States,actor
Peter O'Toole,Siân Phillips,1959-12-01,1979-08-14,,United Kingdom,actor
Nicolas Cage,Lisa Marie Presley,2002-08-10,2004-05-24,divorce,United States,actor
Courteney Cox,David Arquette,1999-01-01,2013-01-01,divorce,United States,actor
Edward James Olmos,Lymari Nadal,2002-01-01,,,Mexico,actor
Marilyn Monroe,Joe DiMaggio,1954-01-14,1955-10-31,divorce,United States,actor
Robert De Niro,Grace Hightower,1997-06-17,2018-01-01,divorce,United States,actor
Gwen Stefani,Gavin Rossdale,2002-09-14,2015-01-01,divorce,United States,actor
Susan Sarandon,Chris Sarandon,1967-09-16,1979-09-20,,United States,actor
Mark Wahlberg,Rhea Durham,2009-01-01,,,United States,actor
Mark Wahlberg,Rhea Durham,2009-01-01,,,United States,musician
Elia Kazan,Barbara Loden,1967-01-01,1980-01-01,,Greece,actor
Audrey Hepburn,Mel Ferrer,1954-09-24,1968-01-01,divorce,United Kingdom,actor
Frances Marion,George W. Hill,1930-01-01,1933-01-01,,United States,actor
Rebecca Romijn,John Stamos,1998-01-01,2005-01-01,divorce,United States,actor
Jack Lemmon,Felicia Farr,1962-01-01,2001-01-01,,United States,actor
Jack Lemmon,Felicia Farr,1962-01-01,2001-01-01,,United States,musician
Tom Hardy,Charlotte Riley,2014-01-01,,,United Kingdom,actor
Pamela Anderson,Tommy Lee,1995-02-19,1998-02-28,divorce,Canada,actor
Michael Fassbender,Alicia Vikander,2017-10-14,,,Germany,actor
Amy Poehler,Will Arnett,2003-08-29,2016-07-29,,United States,actor
Michael Fassbender,Alicia Vikander,2017-10-14,,,Ireland,actor
Lauren Bacall,Jason Robards,1961-07-04,1969-09-10,divorce,United States,actor
Norma Shearer,Irving Thalberg,1927-01-01,1936-01-01,,United States,actor
Robert De Niro,Grace Hightower,1997-06-17,2018-01-01,divorce,Italy,actor
Emma Thompson,Greg Wise,2003-01-01,,,United Kingdom,actor
Peter Sellers,Lynne Frederick,1977-02-18,1980-07-24,death of subject,United Kingdom,actor
Ava Gardner,Artie Shaw,1945-01-01,1946-01-01,divorce,United States,actor
Ashley Judd,Dario Franchitti,2001-12-12,2013-01-29,,United States,actor
Buster Keaton,Natalie Talmadge,1921-05-31,1932-07-25,,United States,actor
Adriano Celentano,Claudia Mori,1964-01-01,,,Italy,actor
Jenny Lind,Otto Goldschmidt,1852-02-05,http://www.wikidata.org/.well-known/genid/4cd6e2a1ba963bb532db34ee56468719,,Sweden,actor
Robert Downey Jr.,Susan Downey,2005-08-27,,,United States,actor
Robert Downey Jr.,Susan Downey,2005-08-27,,,United States,musician
Fredric March,Florence Eldridge,1927-01-01,1975-01-01,,United States,actor
Claire Danes,Hugh Dancy,2009-09-01,,,United States,actor
Gwyneth Paltrow,Brad Falchuk,2018-01-01,,,United States,actor
Gwyneth Paltrow,Brad Falchuk,2018-01-01,,,United States,musician
